"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    WHITE NON-HISPANIC MALE POPULATION AGE 62 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.651,13.889,13.850,13.150,11.937,11.353,11.041,11.593,11.080,10.869,11.194,10.682,10.759,10.561,11.558,13.026,11.202,10.939,11.290,15.729,14.356,14.377,14.622,14.726,15.069,15.175,15.628,16.239,15.855,16.315,16.095,15.067,14.677,14.090,13.338,12.933,12.518,12.061,11.318,10.641,10.313,10.276,10.544,10.228,9.244,8.682,8.672,9.085,8.868,9.243,9.362,9.526,10.085,10.100,10.420,10.447,10.879,11.462,11.422,11.490,11.911,11.532,11.849,11.092,10.586,9.806,9.033,8.448,7.484,6.993,7.271
"    WHITE NON-HISPANIC MALE POPULATION AGE 63 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.370,14.276,13.562,13.475,12.724,11.514,10.957,10.620,11.194,10.662,10.445,10.684,10.228,10.222,10.037,10.999,12.259,10.616,10.348,10.756,15.024,14.064,14.088,14.342,14.382,14.646,14.805,15.221,15.820,15.438,15.728,14.816,14.154,13.966,13.403,12.687,12.300,11.905,11.467,10.765,10.122,9.808,9.773,10.025,9.727,8.792,8.259,8.250,8.646,8.442,8.802,8.920,9.077,9.609,9.627,9.940,9.970,10.390,10.954,10.920,10.992,11.404,11.041,11.346,10.618,10.137,9.392,8.645,8.088,7.161,6.688
"    WHITE NON-HISPANIC MALE POPULATION AGE 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.356,14.060,13.966,13.178,12.991,12.197,11.005,10.406,10.079,10.581,10.031,10.035,10.317,9.903,9.917,9.857,10.939,12.238,10.769,10.568,10.869,14.792,13.843,13.888,14.023,14.059,14.320,14.480,14.925,15.443,14.981,14.721,14.138,13.683,13.497,12.951,12.259,11.881,11.495,11.072,10.394,9.772,9.467,9.432,9.675,9.385,8.483,7.969,7.961,8.345,8.149,8.495,8.610,8.760,9.274,9.294,9.600,9.631,10.043,10.592,10.562,10.638,11.042,10.689,10.983,10.274,9.811,9.091,8.366,7.826,6.927
"  WHITE NON-HISPANIC MALE POPULATION AGE 65 to 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",66.180,64.551,62.886,61.622,59.731,57.940,55.946,53.332,50.592,48.657,47.345,45.825,44.983,44.849,44.615,43.658,42.752,43.894,46.134,47.132,48.137,49.790,54.368,56.545,59.652,62.737,65.299,64.697,65.013,65.790,66.696,64.026,62.999,62.547,61.614,60.337,58.925,56.865,54.811,52.857,50.737,48.513,46.299,44.197,42.446,41.326,40.473,39.254,37.846,36.534,35.506,34.547,34.622,35.169,35.843,36.673,37.626,38.579,39.426,40.530,41.737,42.852,43.748,44.970,45.484,45.846,45.518,44.724,42.964,40.874,38.139
"    WHITE NON-HISPANIC MALE POPULATION AGE 65 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.136,13.498,13.300,13.158,12.384,12.188,11.491,10.500,9.969,9.692,10.238,9.621,9.522,9.821,9.462,9.341,9.167,10.339,11.562,10.168,10.150,10.617,14.483,13.463,13.592,13.658,13.690,13.885,14.013,14.452,14.968,13.952,13.836,13.463,13.021,12.837,12.309,11.644,11.276,10.911,10.501,9.856,9.262,8.964,8.926,9.149,8.873,8.015,7.527,7.514,7.880,7.692,8.021,8.130,8.268,8.750,8.770,9.065,9.095,9.486,10.009,9.984,10.054,10.443,10.101,10.379,9.707,9.275,8.593,7.887,7.373
"    WHITE NON-HISPANIC MALE POPULATION AGE 66 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.526,13.391,12.717,12.427,12.416,11.694,11.433,10.790,9.955,9.541,9.202,9.872,9.193,9.121,9.388,9.065,8.811,8.807,10.042,11.221,9.961,9.942,10.419,14.195,13.100,13.236,13.304,13.361,13.478,13.630,13.921,13.631,13.042,13.099,12.741,12.316,12.135,11.630,10.994,10.645,10.299,9.914,9.303,8.737,8.453,8.418,8.627,8.366,7.556,7.095,7.086,7.433,7.257,7.567,7.668,7.795,8.253,8.275,8.558,8.587,8.959,9.459,9.436,9.506,9.874,9.552,9.808,9.165,8.758,8.112,7.439
"    WHITE NON-HISPANIC MALE POPULATION AGE 67 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.266,13.195,12.967,12.350,12.100,11.941,11.163,10.941,10.347,9.586,9.142,8.800,9.410,8.768,8.662,8.956,8.537,8.421,8.491,9.717,10.732,9.749,9.743,10.190,13.817,12.797,12.824,12.898,12.905,13.089,13.146,12.723,12.779,12.381,12.428,12.086,11.675,11.496,11.005,10.403,10.062,9.738,9.359,8.776,8.240,7.968,7.931,8.121,7.870,7.102,6.668,6.656,6.984,6.813,7.106,7.203,7.319,7.750,7.770,8.040,8.069,8.425,8.901,8.878,8.942,9.299,8.984,9.227,8.617,8.237,7.619
"    WHITE NON-HISPANIC MALE POPULATION AGE 68 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.780,12.092,12.085,11.938,11.275,11.026,10.956,10.292,10.116,9.678,9.115,8.792,8.422,9.049,8.390,8.240,8.407,8.207,8.097,8.161,9.225,10.481,9.535,9.471,9.943,13.417,12.457,12.472,12.485,12.485,12.617,11.973,11.873,12.083,11.705,11.747,11.420,11.030,10.855,10.392,9.821,9.503,9.189,8.836,8.288,7.781,7.525,7.487,7.664,7.427,6.705,6.296,6.286,6.595,6.438,6.715,6.807,6.921,7.326,7.350,7.609,7.638,7.981,8.433,8.416,8.482,8.820,8.526,8.753,8.173,7.810
"    WHITE NON-HISPANIC MALE POPULATION AGE 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.472,12.375,11.817,11.749,11.556,11.091,10.903,10.809,10.205,10.160,9.648,8.740,8.436,8.090,8.713,8.056,7.830,8.120,7.942,7.865,8.069,9.001,10.188,9.226,9.200,9.629,13.024,12.081,12.132,12.134,12.044,11.747,11.469,11.521,11.719,11.351,11.386,11.065,10.681,10.506,10.054,9.502,9.186,8.884,8.539,8.010,7.517,7.265,7.229,7.396,7.167,6.470,6.074,6.064,6.363,6.210,6.477,6.568,6.677,7.067,7.091,7.346,7.376,7.710,8.151,8.134,8.199,8.531,8.243,8.465,7.898
"  WHITE NON-HISPANIC MALE POPULATION AGE 70 to 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",52.162,52.399,52.958,52.563,52.087,51.737,50.129,48.681,47.888,46.955,46.000,44.587,42.745,40.798,38.999,37.672,35.837,35.270,35.403,35.427,35.091,35.768,37.257,39.373,40.605,41.666,42.778,46.500,48.395,50.952,53.147,52.978,51.055,50.611,50.366,50.366,50.025,49.804,49.356,48.533,47.434,46.238,44.537,42.859,41.267,39.557,37.766,36.002,34.321,32.911,31.990,31.280,30.312,29.200,28.161,27.351,26.621,26.692,27.129,27.657,28.315,29.069,29.847,30.542,31.449,32.451,33.372,34.116,35.135,35.579,35.875
"    WHITE NON-HISPANIC MALE POPULATION AGE 70 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.462,12.167,12.092,11.361,11.352,11.227,10.606,10.399,10.404,9.882,9.855,9.174,8.343,8.028,7.637,8.199,7.468,7.389,7.708,7.489,7.485,7.865,8.771,9.883,8.925,8.894,9.312,12.619,11.628,11.699,11.653,11.360,11.118,10.993,11.040,11.227,10.869,10.900,10.584,10.213,10.044,9.608,9.076,8.769,8.480,8.146,7.638,7.164,6.921,6.884,7.042,6.819,6.155,5.778,5.766,6.052,5.908,6.164,6.251,6.352,6.727,6.753,6.999,7.028,7.348,7.770,7.755,7.819,8.140,7.864,8.074
"    WHITE NON-HISPANIC MALE POPULATION AGE 71 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.896,10.791,11.261,11.138,10.530,10.443,10.202,9.755,9.624,9.698,9.197,9.451,8.817,8.062,7.723,7.420,7.836,7.307,7.237,7.584,7.353,7.284,7.674,8.522,9.557,8.653,8.634,8.983,12.284,11.264,11.298,10.767,10.611,10.521,10.397,10.441,10.618,10.273,10.296,9.996,9.642,9.480,9.064,8.559,8.267,7.994,7.679,7.197,6.750,6.518,6.481,6.628,6.420,5.792,5.438,5.425,5.698,5.561,5.802,5.885,5.979,6.331,6.359,6.593,6.621,6.927,7.328,7.313,7.379,7.686,7.421
"    WHITE NON-HISPANIC MALE POPULATION AGE 72 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.493,10.430,10.337,10.935,10.725,10.053,9.950,9.794,9.261,9.200,9.229,8.712,8.977,8.384,7.663,7.318,7.025,7.537,7.048,7.000,7.280,7.113,7.080,7.435,8.271,9.195,8.294,8.369,8.674,11.847,10.837,10.387,10.192,10.177,10.089,9.967,10.007,10.177,9.841,9.861,9.571,9.232,9.075,8.674,8.192,7.912,7.647,7.344,6.883,6.454,6.233,6.197,6.336,6.135,5.534,5.197,5.186,5.447,5.318,5.549,5.630,5.720,6.061,6.089,6.317,6.343,6.642,7.026,7.017,7.082,7.377
"    WHITE NON-HISPANIC MALE POPULATION AGE 73 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",9.836,9.666,9.897,9.766,10.193,10.102,9.572,9.497,9.352,8.983,8.925,8.806,8.283,8.546,7.968,7.277,6.828,6.683,7.166,6.664,6.656,7.054,6.937,6.855,7.207,7.986,8.844,8.009,8.100,8.347,11.353,10.016,9.728,9.666,9.646,9.559,9.444,9.481,9.632,9.315,9.332,9.058,8.729,8.577,8.195,7.736,7.469,7.220,6.929,6.493,6.085,5.873,5.839,5.967,5.775,5.209,4.893,4.883,5.129,5.007,5.228,5.305,5.392,5.713,5.740,5.958,5.986,6.269,6.637,6.630,6.692
"    WHITE NON-HISPANIC MALE POPULATION AGE 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",9.475,9.345,9.371,9.363,9.287,9.912,9.799,9.236,9.247,9.192,8.794,8.444,8.325,7.778,8.008,7.458,6.680,6.354,6.244,6.690,6.317,6.452,6.795,6.678,6.645,6.938,7.694,8.520,7.709,7.795,8.006,10.448,9.406,9.254,9.194,9.172,9.087,8.973,9.003,9.148,8.845,8.860,8.593,8.280,8.133,7.769,7.333,7.077,6.838,6.562,6.149,5.763,5.562,5.528,5.648,5.468,4.936,4.637,4.629,4.864,4.751,4.960,5.036,5.119,5.423,5.453,5.661,5.689,5.962,6.317,6.311
"  WHITE NON-HISPANIC MALE POPULATION AGE 75 to 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",36.886,37.877,38.235,38.531,38.508,38.281,38.513,39.083,38.955,39.082,38.974,38.308,37.458,36.734,35.634,34.830,33.444,32.221,30.746,29.607,28.728,28.186,28.339,28.668,28.968,28.990,29.540,30.621,32.283,33.173,33.874,33.114,35.206,36.281,37.744,39.009,40.029,39.069,38.668,38.427,38.382,38.075,37.846,37.455,36.764,35.872,34.902,33.558,32.232,30.980,29.648,28.269,26.909,25.619,24.539,23.835,23.299,22.552,21.710,20.933,20.363,19.850,19.934,20.287,20.699,21.211,21.797,22.409,22.959,23.676,24.491
"    WHITE NON-HISPANIC MALE POPULATION AGE 75 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",9.025,9.109,9.015,8.962,9.020,8.971,9.413,9.291,8.754,8.780,8.688,8.284,7.964,7.834,7.349,7.513,6.940,6.286,5.974,5.884,6.235,6.082,6.221,6.527,6.406,6.365,6.656,7.369,8.166,7.404,7.415,7.408,9.834,8.971,8.824,8.761,8.738,8.657,8.539,8.567,8.702,8.409,8.418,8.160,7.860,7.715,7.366,6.948,6.700,6.472,6.207,5.813,5.445,5.252,5.218,5.329,5.160,4.656,4.374,4.364,4.589,4.481,4.681,4.753,4.830,5.116,5.145,5.346,5.374,5.632,5.972
"    WHITE NON-HISPANIC MALE POPULATION AGE 76 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",8.083,8.354,8.369,8.343,8.248,8.284,8.266,8.795,8.651,8.231,8.257,8.194,7.835,7.592,7.512,7.053,7.170,6.721,6.119,5.857,5.735,5.988,5.864,5.988,6.259,6.133,6.117,6.384,7.119,7.842,7.061,6.849,6.936,9.329,8.509,8.370,8.312,8.287,8.203,8.095,8.121,8.249,7.968,7.976,7.730,7.446,7.309,6.976,6.578,6.342,6.125,5.876,5.504,5.155,4.970,4.939,5.047,4.885,4.411,4.144,4.138,4.351,4.251,4.443,4.509,4.584,4.857,4.888,5.080,5.108,5.355
"    WHITE NON-HISPANIC MALE POPULATION AGE 77 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.240,7.412,7.611,7.689,7.607,7.527,7.560,7.662,8.129,8.086,7.763,7.727,7.663,7.384,7.178,7.099,6.635,6.855,6.437,5.850,5.641,5.515,5.774,5.580,5.748,5.989,5.868,5.835,6.103,6.787,7.446,6.413,6.359,6.525,8.773,7.999,7.871,7.810,7.783,7.708,7.601,7.628,7.744,7.478,7.482,7.250,6.980,6.849,6.533,6.160,5.936,5.734,5.497,5.147,4.819,4.646,4.616,4.713,4.563,4.119,3.871,3.864,4.065,3.972,4.151,4.215,4.282,4.539,4.568,4.751,4.777
"    WHITE NON-HISPANIC MALE POPULATION AGE 78 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.702,6.943,7.006,7.200,7.170,7.055,6.931,7.011,7.042,7.503,7.380,7.243,7.219,7.170,6.879,6.690,6.499,6.162,6.334,5.942,5.492,5.423,5.310,5.536,5.319,5.453,5.714,5.631,5.574,5.833,6.465,6.703,5.920,5.948,6.104,8.201,7.479,7.361,7.301,7.274,7.201,7.101,7.124,7.231,6.982,6.984,6.769,6.511,6.388,6.090,5.742,5.531,5.344,5.121,4.794,4.486,4.325,4.297,4.387,4.248,3.835,3.603,3.599,3.786,3.700,3.867,3.929,3.994,4.234,4.260,4.435
"    WHITE NON-HISPANIC MALE POPULATION AGE 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.836,6.059,6.234,6.337,6.463,6.444,6.343,6.324,6.379,6.482,6.886,6.860,6.777,6.754,6.716,6.475,6.200,6.197,5.882,6.074,5.625,5.178,5.170,5.037,5.236,5.050,5.185,5.402,5.321,5.307,5.487,5.741,6.157,5.508,5.534,5.678,7.629,6.954,6.842,6.783,6.757,6.688,6.592,6.610,6.710,6.477,6.478,6.274,6.033,5.916,5.638,5.315,5.119,4.944,4.738,4.435,4.151,4.001,3.975,4.058,3.930,3.551,3.338,3.333,3.509,3.429,3.584,3.642,3.703,3.925,3.952
"  WHITE NON-HISPANIC MALE POPULATION AGE 80 to 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",19.619,20.203,20.912,21.480,22.190,23.032,23.694,23.981,24.374,24.697,24.908,25.296,25.581,25.805,26.179,26.233,25.670,25.330,25.047,24.544,24.297,24.024,23.312,22.755,22.137,21.524,21.193,21.131,21.453,21.632,21.535,20.952,21.173,21.913,22.076,22.327,22.605,24.388,25.132,26.118,26.918,27.522,26.850,26.543,26.344,26.284,26.039,25.853,25.543,25.023,24.375,23.657,22.707,21.774,20.900,19.983,19.034,18.100,17.217,16.488,16.027,15.672,15.167,14.593,14.074,13.715,13.397,13.477,13.724,14.016,14.383
"    WHITE NON-HISPANIC MALE POPULATION AGE 80 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.940,5.082,5.315,5.504,5.647,5.872,5.948,5.925,5.960,6.071,6.198,6.326,6.249,6.202,6.171,6.127,5.858,5.689,5.708,5.420,5.590,5.323,4.896,4.929,4.789,4.924,4.793,4.899,5.133,5.060,4.973,4.881,5.244,5.695,5.095,5.118,5.252,7.051,6.427,6.321,6.267,6.240,6.174,6.081,6.098,6.187,5.971,5.968,5.777,5.553,5.442,5.184,4.885,4.702,4.541,4.350,4.071,3.809,3.670,3.647,3.723,3.605,3.257,3.062,3.057,3.218,3.145,3.290,3.343,3.399,3.603
"    WHITE NON-HISPANIC MALE POPULATION AGE 81 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.439,4.504,4.647,4.817,5.002,5.124,5.297,5.309,5.333,5.336,5.335,5.681,5.827,5.789,5.780,5.751,5.658,5.492,5.345,5.382,5.142,5.270,5.013,4.621,4.639,4.477,4.611,4.494,4.628,4.829,4.719,4.446,4.487,4.882,5.304,4.742,4.765,4.888,6.559,5.977,5.879,5.828,5.799,5.737,5.651,5.665,5.749,5.547,5.542,5.364,5.156,5.052,4.811,4.534,4.364,4.216,4.037,3.780,3.536,3.407,3.385,3.457,3.348,3.026,2.847,2.841,2.991,2.923,3.057,3.109,3.160
"    WHITE NON-HISPANIC MALE POPULATION AGE 82 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.994,4.090,4.171,4.296,4.508,4.708,4.827,4.975,5.062,5.090,5.145,4.828,5.084,5.315,5.304,5.261,5.185,5.168,5.038,4.872,4.899,4.752,4.866,4.633,4.305,4.265,4.171,4.283,4.139,4.269,4.434,4.269,4.092,4.184,4.548,4.940,4.417,4.436,4.547,6.103,5.558,5.470,5.416,5.390,5.331,5.248,5.262,5.338,5.149,5.144,4.977,4.780,4.687,4.461,4.204,4.044,3.907,3.742,3.501,3.275,3.156,3.136,3.202,3.102,2.803,2.638,2.632,2.771,2.708,2.834,2.882
"    WHITE NON-HISPANIC MALE POPULATION AGE 83 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.370,3.554,3.635,3.658,3.779,3.948,4.092,4.138,4.295,4.339,4.348,4.633,4.334,4.637,4.849,4.794,4.774,4.748,4.721,4.658,4.543,4.525,4.412,4.491,4.260,4.004,3.932,3.864,3.974,3.813,3.931,3.961,3.815,3.704,3.783,4.110,4.462,3.987,4.004,4.106,5.510,5.016,4.938,4.884,4.860,4.806,4.729,4.741,4.809,4.636,4.630,4.479,4.300,4.214,4.009,3.778,3.633,3.511,3.362,3.146,2.943,2.837,2.819,2.878,2.789,2.521,2.372,2.367,2.495,2.438,2.553
"    WHITE NON-HISPANIC MALE POPULATION AGE 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",2.876,2.973,3.144,3.205,3.254,3.380,3.530,3.634,3.724,3.861,3.882,3.828,4.087,3.862,4.075,4.300,4.195,4.233,4.235,4.212,4.123,4.154,4.125,4.081,4.144,3.854,3.686,3.591,3.579,3.661,3.478,3.395,3.535,3.448,3.346,3.417,3.709,4.026,3.595,3.611,3.704,4.968,4.523,4.451,4.404,4.378,4.328,4.259,4.266,4.326,4.170,4.162,4.024,3.863,3.782,3.595,3.386,3.258,3.148,3.013,2.820,2.637,2.541,2.525,2.578,2.497,2.257,2.126,2.121,2.236,2.185
"  WHITE NON-HISPANIC MALE POPULATION AGE 85 YEARS and OVER (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.142,12.443,12.892,13.291,13.624,13.999,14.345,14.823,15.383,16.061,16.573,16.756,16.941,17.589,17.805,18.200,18.700,19.229,19.856,20.423,21.012,21.565,22.084,22.471,22.966,23.179,23.336,23.155,22.924,22.881,22.466,21.749,21.450,21.576,21.687,21.809,21.993,22.385,23.188,23.565,23.801,23.921,25.400,26.166,26.647,26.957,27.141,27.274,27.352,27.387,27.405,27.281,27.187,26.992,26.684,26.365,25.940,25.354,24.691,23.992,23.174,22.169,21.158,20.172,19.317,18.636,17.942,17.094,16.169,15.295,14.560
"WHITE NON-HISPANIC MALE POPULATION MEDIAN AGE (in years)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",34.58,34.81,35.07,35.37,35.64,35.90,36.19,36.53,36.88,37.29,37.68,37.95,38.31,38.64,38.95,39.22,39.34,39.42,39.47,39.51,39.68,39.84,39.95,39.96,40.00,40.07,40.16,40.23,40.36,40.44,40.48,40.33,40.37,40.43,40.50,40.62,40.79,40.96,41.14,41.35,41.58,41.79,42.03,42.27,42.48,42.66,42.81,42.91,42.97,42.96,42.87,42.79,42.74,42.73,42.71,42.62,42.54,42.48,42.41,42.31,42.20,42.10,42.03,42.01,42.02,42.01,42.02,42.06,42.12,42.18,42.24
"WHITE NON-HISPANIC FEMALE POPULATION, ALL AGES (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1516.991,1507.586,1499.397,1484.710,1466.853,1447.919,1428.280,1407.023,1387.214,1367.093,1345.899,1327.844,1303.902,1281.987,1258.367,1236.458,1215.025,1204.716,1197.930,1195.330,1191.142,1191.830,1193.554,1193.779,1190.654,1183.677,1175.906,1167.998,1158.807,1150.490,1138.784,1106.916,1082.955,1073.269,1063.416,1053.344,1043.144,1032.669,1022.184,1011.742,1001.069,990.071,979.174,967.950,956.520,944.821,932.861,920.789,908.624,896.423,884.196,871.817,859.518,847.262,835.032,822.803,810.660,798.542,786.572,774.743,762.993,751.399,739.988,728.733,717.720,706.881,696.269,685.738,675.291,665.022,654.776
"  WHITE NON-HISPANIC FEMALE POPULATION AGE UNDER 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",83.693,83.460,82.807,81.082,79.219,76.769,74.237,71.570,68.787,66.260,63.765,62.732,61.359,60.239,59.234,57.775,55.683,54.584,53.674,53.125,53.782,55.099,55.985,56.580,57.223,57.489,56.671,56.049,55.464,54.396,53.193,51.285,49.925,48.998,48.161,48.104,47.852,47.426,47.035,46.583,46.091,45.551,44.933,44.254,43.520,42.742,41.901,41.009,40.102,39.221,38.388,37.656,37.046,36.543,36.110,35.708,35.301,34.878,34.447,34.023,33.620,33.263,32.929,32.587,32.243,31.893,31.537,31.161,30.770,30.362,29.925
