"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL FEMALE POPULATION AGE 6 YEARS (in thousands)","n.a.",2.783,2.688,2.607,2.623,2.601,2.717,2.860,2.975,2.775,2.666,2.650,2.688,2.604,2.684,2.682,2.743,2.829,2.875,2.911,2.926,2.872,3.016,3.050,3.107,3.260,3.454,3.746,3.924,4.038,4.142,4.285,4.486,4.777,4.840,4.739,4.951,5.368,5.496,5.428,5.306,5.440,5.177,5.220,4.984,4.862,4.655,4.646,4.351,4.410,4.235,4.259,4.259,4.244,3.997,3.940,3.749,4.187,4.151,4.262,4.268,4.332,4.382,4.432,4.483,4.535,4.586,4.643,4.705,4.774,4.838,4.893,4.950,5.008,5.066,5.121,5.164,5.213,5.248,5.281,5.312,5.350,5.392,5.433,5.472,5.504,5.544,5.582,5.627,5.672,5.714,5.762
"    TOTAL FEMALE POPULATION AGE 7 YEARS (in thousands)","n.a.",2.857,2.836,2.804,2.729,2.710,2.725,2.835,2.975,3.084,2.875,2.758,2.663,2.683,2.609,2.701,2.706,2.779,2.880,2.924,2.964,2.972,2.955,3.092,3.154,3.240,3.435,3.654,3.957,4.128,4.271,4.388,4.487,4.693,4.969,4.998,4.920,5.115,5.446,5.629,5.505,5.414,5.380,5.191,5.187,5.025,4.912,4.708,4.704,4.404,4.428,4.264,4.259,4.259,4.310,4.058,3.997,3.806,4.249,4.213,4.324,4.331,4.396,4.446,4.500,4.551,4.604,4.655,4.714,4.777,4.845,4.910,4.968,5.027,5.086,5.143,5.203,5.248,5.298,5.337,5.371,5.404,5.446,5.488,5.533,5.571,5.602,5.646,5.686,5.730,5.772,5.819
"    TOTAL FEMALE POPULATION AGE 8 YEARS (in thousands)","n.a.",2.805,2.793,2.848,2.836,2.729,2.751,2.764,2.882,3.014,3.138,2.938,2.739,2.622,2.645,2.573,2.663,2.664,2.743,2.837,2.876,2.912,2.956,2.927,3.084,3.173,3.281,3.487,3.694,3.991,4.206,4.358,4.514,4.685,4.888,5.134,5.153,5.059,5.257,5.538,5.696,5.520,5.378,5.371,5.165,5.177,5.041,4.946,4.718,4.715,4.439,4.481,4.257,4.252,4.314,4.363,4.110,4.048,3.855,4.304,4.265,4.377,4.384,4.452,4.502,4.554,4.606,4.659,4.710,4.770,4.834,4.906,4.970,5.031,5.091,5.152,5.210,5.271,5.316,5.369,5.408,5.445,5.479,5.523,5.567,5.613,5.651,5.684,5.726,5.766,5.812,5.853
"    TOTAL FEMALE POPULATION AGE 9 YEARS (in thousands)","n.a.",2.894,2.876,2.928,2.991,2.932,2.852,2.865,2.863,2.961,3.097,3.197,2.926,2.740,2.655,2.709,2.668,2.796,2.840,2.950,3.083,3.100,3.192,3.195,3.170,3.337,3.423,3.522,3.695,3.872,4.185,4.358,4.528,4.700,4.791,4.972,5.252,5.287,5.062,5.225,5.402,5.605,5.488,5.393,5.325,5.164,5.181,5.110,4.984,4.741,4.756,4.466,4.417,4.235,4.290,4.350,4.402,4.147,4.082,3.888,4.342,4.301,4.416,4.423,4.492,4.544,4.599,4.651,4.702,4.756,4.817,4.884,4.955,5.025,5.088,5.151,5.212,5.272,5.334,5.383,5.437,5.479,5.520,5.555,5.599,5.644,5.693,5.734,5.766,5.810,5.851,5.896
"  TOTAL FEMALE POPULATION AGE 10 to 14 YEARS (in thousands)","n.a.",13.931,14.172,14.589,14.996,15.131,15.342,15.266,15.113,14.862,14.711,14.762,14.813,14.571,14.286,13.918,13.603,13.237,13.312,13.554,13.976,14.373,14.942,15.359,15.876,16.352,16.881,17.477,17.969,18.475,19.347,20.381,21.661,23.018,24.400,25.557,26.369,27.269,27.738,27.800,27.816,27.930,27.862,27.862,27.746,27.532,26.907,26.673,26.347,26.064,25.503,25.152,24.429,23.659,23.164,23.033,22.684,22.774,22.572,22.414,22.002,21.984,21.877,22.155,22.530,23.173,23.391,23.710,23.958,24.262,24.545,24.847,25.169,25.509,25.869,26.240,26.604,26.975,27.326,27.675,28.013,28.345,28.657,28.940,29.199,29.447,29.688,29.935,30.176,30.415,30.645,30.869
"    TOTAL FEMALE POPULATION AGE 10 YEARS (in thousands)","n.a.",2.929,2.996,3.030,3.080,3.087,3.051,2.947,2.940,2.916,3.009,3.133,3.183,2.899,2.724,2.651,2.717,2.683,2.834,2.878,3.000,3.144,3.169,3.240,3.277,3.266,3.466,3.568,3.658,3.824,4.038,4.360,4.554,4.795,4.959,5.121,5.348,5.604,5.647,5.420,5.605,5.744,5.548,5.510,5.375,5.376,5.188,5.204,5.162,5.052,4.723,4.787,4.504,4.481,4.359,4.414,4.474,4.529,4.269,4.201,4.003,4.471,4.429,4.547,4.557,4.629,4.682,4.736,4.789,4.847,4.902,4.966,5.035,5.112,5.186,5.250,5.315,5.382,5.445,5.511,5.561,5.621,5.667,5.709,5.750,5.795,5.845,5.894,5.936,5.971,6.017,6.060
"    TOTAL FEMALE POPULATION AGE 11 YEARS (in thousands)","n.a.",2.890,2.892,3.018,3.055,3.052,3.087,3.033,2.912,2.883,2.858,2.950,3.024,3.056,2.800,2.650,2.593,2.672,2.662,2.816,2.876,2.984,3.196,3.200,3.297,3.356,3.370,3.585,3.676,3.748,3.953,4.182,4.554,4.730,4.972,5.108,5.256,5.452,5.618,5.593,5.270,5.555,5.773,5.602,5.484,5.339,5.374,5.191,5.199,5.188,5.076,4.770,4.953,4.511,4.548,4.427,4.483,4.546,4.604,4.337,4.267,4.066,4.543,4.500,4.622,4.631,4.702,4.757,4.813,4.868,4.926,4.984,5.052,5.124,5.201,5.277,5.343,5.411,5.477,5.545,5.614,5.669,5.730,5.776,5.819,5.862,5.909,5.960,6.012,6.054,6.088,6.135
"    TOTAL FEMALE POPULATION AGE 12 YEARS (in thousands)","n.a.",2.827,2.850,2.932,3.080,3.081,3.130,3.168,3.114,2.990,2.973,2.961,3.014,3.057,3.088,2.826,2.665,2.607,2.688,2.671,2.813,2.841,2.959,3.150,3.180,3.293,3.374,3.393,3.595,3.665,3.771,3.969,4.291,4.774,4.953,5.148,5.230,5.392,5.556,5.672,5.591,5.398,5.539,5.801,5.595,5.485,5.322,5.398,5.218,5.225,5.225,5.127,4.716,4.925,4.551,4.586,4.469,4.522,4.586,4.645,4.380,4.306,4.105,4.586,4.543,4.664,4.675,4.749,4.805,4.865,4.919,4.979,5.041,5.108,5.183,5.265,5.341,5.410,5.481,5.551,5.621,5.694,5.750,5.813,5.862,5.908,5.953,6.003,6.056,6.109,6.153,6.189
"    TOTAL FEMALE POPULATION AGE 13 YEARS (in thousands)","n.a.",2.692,2.730,2.817,2.905,3.004,3.045,3.078,3.102,3.034,2.913,2.897,2.830,2.866,2.919,2.962,2.729,2.586,2.545,2.629,2.619,2.750,2.810,2.932,3.164,3.238,3.398,3.509,3.541,3.752,3.886,4.029,4.120,4.445,4.938,5.126,5.326,5.442,5.465,5.661,5.768,5.590,5.432,5.527,5.811,5.567,5.499,5.360,5.386,5.216,5.248,5.226,5.094,4.704,4.983,4.605,4.637,4.523,4.572,4.640,4.697,4.429,4.355,4.152,4.640,4.596,4.721,4.731,4.807,4.862,4.921,4.980,5.043,5.105,5.175,5.252,5.334,5.415,5.485,5.558,5.633,5.703,5.778,5.836,5.902,5.951,5.999,6.047,6.096,6.152,6.206,6.250
"    TOTAL FEMALE POPULATION AGE 14 YEARS (in thousands)","n.a.",2.593,2.704,2.792,2.876,2.907,3.029,3.040,3.045,3.039,2.958,2.821,2.762,2.693,2.755,2.829,2.899,2.689,2.583,2.560,2.668,2.654,2.808,2.837,2.958,3.199,3.273,3.422,3.499,3.486,3.699,3.841,4.142,4.274,4.578,5.054,5.209,5.379,5.452,5.454,5.582,5.643,5.570,5.422,5.481,5.765,5.524,5.520,5.382,5.383,5.231,5.242,5.162,5.038,4.723,5.001,4.621,4.654,4.541,4.591,4.655,4.712,4.445,4.370,4.168,4.653,4.611,4.737,4.744,4.820,4.877,4.938,4.998,5.060,5.124,5.196,5.271,5.357,5.438,5.510,5.584,5.658,5.732,5.806,5.866,5.931,5.982,6.031,6.076,6.129,6.181,6.235
"  TOTAL FEMALE POPULATION AGE 15 to 19 YEARS (in thousands)","n.a.",10.987,11.379,12.060,12.746,13.174,13.712,14.196,14.476,14.626,14.716,14.723,14.320,13.844,13.416,13.171,13.116,13.306,13.377,13.350,13.238,13.140,12.841,12.821,13.096,13.583,14.278,15.001,15.627,16.224,16.788,17.433,18.064,18.806,19.587,20.716,21.829,23.180,24.068,24.739,25.158,25.529,25.829,25.771,25.542,25.378,25.365,25.328,25.308,25.273,25.199,24.818,25.199,24.817,24.909,24.545,24.513,24.032,23.658,23.180,23.043,22.735,22.833,22.697,22.512,22.058,22.064,21.946,22.300,22.742,23.424,23.653,24.005,24.296,24.643,24.972,25.313,25.671,26.057,26.467,26.876,27.291,27.701,28.088,28.475,28.840,29.199,29.529,29.843,30.125,30.396,30.661
"    TOTAL FEMALE POPULATION AGE 15 YEARS (in thousands)","n.a.",2.476,2.539,2.723,2.835,2.892,2.973,3.098,3.107,3.112,3.113,3.039,2.871,2.784,2.713,2.772,2.845,2.915,2.711,2.592,2.565,2.645,2.650,2.787,2.839,2.983,3.243,3.324,3.463,3.525,3.547,3.787,3.923,4.239,4.386,4.738,5.206,5.372,5.442,5.477,5.505,5.618,5.664,5.555,5.413,5.498,5.752,5.502,5.542,5.378,5.378,5.249,5.245,5.164,5.115,4.795,5.075,4.689,4.724,4.611,4.660,4.724,4.784,4.514,4.435,4.233,4.726,4.681,4.808,4.818,4.893,4.954,5.016,5.078,5.144,5.208,5.284,5.362,5.448,5.533,5.607,5.685,5.762,5.835,5.912,5.974,6.042,6.093,6.144,6.191,6.244,6.299
"    TOTAL FEMALE POPULATION AGE 16 YEARS (in thousands)","n.a.",2.382,2.461,2.588,2.787,2.861,2.956,3.028,3.145,3.141,3.146,3.148,3.023,2.839,2.762,2.707,2.774,2.858,2.940,2.739,2.629,2.584,2.680,2.679,2.853,2.931,3.109,3.399,3.481,3.619,3.728,3.803,3.908,4.047,4.397,4.538,4.817,5.350,5.449,5.501,5.539,5.566,5.588,5.612,5.521,5.380,5.420,5.736,5.439,5.509,5.343,5.337,5.270,5.264,5.259,5.205,4.873,5.160,4.773,4.808,4.689,4.742,4.808,4.873,4.600,4.518,4.315,4.810,4.765,4.892,4.902,4.980,5.043,5.103,5.168,5.234,5.297,5.375,5.454,5.543,5.628,5.704,5.782,5.858,5.934,6.010,6.072,6.137,6.190,6.238,6.283,6.335
"    TOTAL FEMALE POPULATION AGE 17 YEARS (in thousands)","n.a.",2.279,2.379,2.511,2.644,2.801,2.907,2.985,3.040,3.138,3.132,3.122,3.083,2.959,2.798,2.749,2.708,2.794,2.906,3.010,2.823,2.729,2.659,2.732,2.759,2.934,3.007,3.155,3.408,3.471,3.624,3.744,3.888,4.015,4.192,4.527,4.613,4.931,5.439,5.418,5.527,5.575,5.544,5.585,5.598,5.505,5.296,5.402,5.727,5.446,5.483,5.357,5.415,5.241,5.320,5.312,5.266,4.912,5.209,4.830,4.863,4.749,4.802,4.874,4.943,4.642,4.551,4.332,4.900,4.846,4.982,4.994,5.078,5.143,5.211,5.277,5.345,5.413,5.493,5.577,5.668,5.755,5.831,5.908,5.985,6.059,6.134,6.197,6.263,6.317,6.365,6.412
"    TOTAL FEMALE POPULATION AGE 18 YEARS (in thousands)","n.a.",1.967,2.042,2.159,2.271,2.333,2.489,2.553,2.594,2.614,2.682,2.677,2.648,2.609,2.519,2.400,2.365,2.344,2.434,2.534,2.639,2.504,2.372,2.305,2.393,2.414,2.588,2.655,2.778,3.005,3.083,3.229,3.432,3.515,3.577,3.736,4.001,4.144,4.329,4.780,4.722,4.819,4.857,4.839,4.828,4.846,4.737,4.623,4.639,4.945,4.773,4.750,4.764,4.848,4.774,4.847,4.845,4.820,4.500,4.770,4.425,4.438,4.358,4.401,4.465,4.537,4.264,4.169,3.970,4.510,4.456,4.587,4.603,4.686,4.751,4.818,4.883,4.951,5.021,5.101,5.182,5.273,5.359,5.435,5.513,5.590,5.664,5.739,5.805,5.872,5.927,5.980
"    TOTAL FEMALE POPULATION AGE 19 YEARS (in thousands)","n.a.",1.883,1.958,2.079,2.209,2.287,2.387,2.532,2.590,2.621,2.643,2.737,2.695,2.653,2.624,2.543,2.424,2.395,2.386,2.475,2.582,2.678,2.480,2.318,2.252,2.321,2.331,2.468,2.497,2.604,2.806,2.870,2.913,2.990,3.035,3.177,3.192,3.383,3.409,3.563,3.865,3.951,4.176,4.180,4.182,4.149,4.160,4.065,3.961,3.995,4.222,4.125,4.505,4.300,4.441,4.386,4.454,4.451,4.452,4.161,4.406,4.082,4.081,4.035,4.069,4.128,4.208,3.954,3.857,3.676,4.191,4.138,4.265,4.286,4.369,4.435,4.504,4.570,4.641,4.713,4.791,4.874,4.967,5.052,5.131,5.207,5.287,5.363,5.441,5.507,5.577,5.635
"  TOTAL FEMALE POPULATION AGE 20 to 24 YEARS (in thousands)","n.a.",9.417,10.056,10.311,10.835,11.233,11.842,12.347,12.840,13.220,13.533,13.809,13.872,13.695,13.502,13.323,13.087,12.708,12.377,12.052,11.829,11.848,11.790,11.675,11.695,11.658,11.604,11.521,11.695,12.048,12.593,13.307,13.948,14.504,15.335,16.139,16.472,16.692,16.872,16.952,16.980,17.539,18.410,19.402,20.443,21.389,21.793,21.929,21.934,21.666,21.610,21.587,21.715,21.700,21.943,22.369,22.750,23.041,23.048,23.228,22.963,22.994,22.623,22.257,21.806,21.696,21.351,21.484,21.362,21.182,20.776,20.825,20.731,21.069,21.552,22.329,22.591,22.997,23.335,23.731,24.115,24.509,24.924,25.358,25.814,26.271,26.731,27.192,27.631,28.054,28.460,28.861
"    TOTAL FEMALE POPULATION AGE 20 YEARS (in thousands)","n.a.",1.906,1.987,2.093,2.212,2.296,2.394,2.468,2.591,2.621,2.642,2.670,2.720,2.653,2.608,2.576,2.491,2.376,2.346,2.331,2.412,2.548,2.556,2.380,2.266,2.223,2.297,2.302,2.428,2.472,2.593,2.792,2.891,2.897,3.038,3.088,3.130,3.141,3.273,3.276,3.359,3.732,4.049,4.283,4.272,4.276,4.262,4.277,4.212,4.123,4.162,4.366,4.248,4.417,4.277,4.419,4.365,4.435,4.432,4.440,4.153,4.394,4.071,4.066,4.026,4.059,4.116,4.198,3.947,3.846,3.668,4.186,4.133,4.263,4.285,4.369,4.437,4.507,4.577,4.648,4.722,4.801,4.887,4.981,5.069,5.147,5.228,5.312,5.389,5.467,5.532,5.604
"    TOTAL FEMALE POPULATION AGE 21 YEARS (in thousands)","n.a.",1.799,1.818,1.954,2.077,2.172,2.298,2.396,2.473,2.598,2.641,2.679,2.660,2.681,2.613,2.565,2.526,2.439,2.323,2.286,2.260,2.332,2.398,2.422,2.294,2.201,2.156,2.235,2.246,2.386,2.444,2.570,2.935,3.005,3.051,3.152,3.165,3.218,3.221,3.322,3.305,3.441,3.816,4.100,4.393,4.367,4.365,4.399,4.425,4.344,4.238,4.316,4.156,4.247,4.481,4.338,4.480,4.429,4.499,4.498,4.508,4.216,4.463,4.134,4.125,4.090,4.120,4.179,4.263,4.007,3.903,3.722,4.253,4.202,4.335,4.358,4.444,4.515,4.589,4.661,4.736,4.810,4.894,4.981,5.080,5.171,5.253,5.334,5.420,5.499,5.579,5.646
"    TOTAL FEMALE POPULATION AGE 22 YEARS (in thousands)","n.a.",1.914,1.938,1.989,2.131,2.219,2.339,2.448,2.536,2.594,2.717,2.753,2.739,2.702,2.725,2.662,2.614,2.578,2.494,2.375,2.337,2.306,2.307,2.384,2.447,2.328,2.239,2.214,2.301,2.331,2.490,2.590,2.682,3.052,3.154,3.229,3.356,3.288,3.357,3.374,3.387,3.391,3.581,3.934,4.296,4.542,4.557,4.446,4.556,4.574,4.466,4.313,4.270,4.227,4.386,4.640,4.489,4.634,4.580,4.656,4.649,4.659,4.359,4.617,4.264,4.261,4.221,4.253,4.310,4.396,4.128,4.024,3.838,4.394,4.339,4.475,4.499,4.590,4.663,4.739,4.816,4.893,4.973,5.060,5.151,5.252,5.345,5.431,5.515,5.602,5.683,5.768
"    TOTAL FEMALE POPULATION AGE 23 YEARS (in thousands)","n.a.",2.164,2.016,2.079,2.138,2.243,2.362,2.473,2.573,2.647,2.705,2.828,2.809,2.762,2.716,2.729,2.654,2.599,2.559,2.457,2.326,2.289,2.212,2.237,2.367,2.448,2.352,2.292,2.295,2.418,2.480,2.684,2.675,2.787,3.176,3.360,3.376,3.561,3.441,3.525,3.496,3.496,3.505,3.606,3.945,4.282,4.469,4.447,4.351,4.426,4.426,4.294,4.417,4.341,4.347,4.517,4.787,4.632,4.781,4.728,4.803,4.796,4.810,4.502,4.769,4.390,4.389,4.349,4.379,4.438,4.524,4.250,4.144,3.955,4.530,4.476,4.617,4.644,4.737,4.814,4.894,4.975,5.056,5.139,5.231,5.325,5.431,5.531,5.621,5.709,5.799,5.884
"    TOTAL FEMALE POPULATION AGE 24 YEARS (in thousands)","n.a.",1.634,2.297,2.196,2.277,2.303,2.449,2.562,2.667,2.760,2.828,2.879,2.944,2.897,2.840,2.791,2.802,2.716,2.655,2.603,2.494,2.373,2.317,2.252,2.321,2.458,2.560,2.478,2.425,2.441,2.586,2.671,2.765,2.763,2.916,3.310,3.445,3.484,3.580,3.455,3.433,3.479,3.459,3.479,3.537,3.922,4.140,4.360,4.390,4.199,4.318,4.298,4.624,4.468,4.452,4.455,4.629,4.911,4.756,4.906,4.850,4.929,4.920,4.938,4.622,4.896,4.505,4.505,4.463,4.495,4.553,4.643,4.363,4.255,4.063,4.651,4.594,4.741,4.769,4.869,4.947,5.030,5.114,5.197,5.283,5.376,5.474,5.584,5.686,5.777,5.867,5.959
"  TOTAL FEMALE POPULATION AGE 25 to 29 YEARS (in thousands)","n.a.",8.952,9.262,10.305,11.002,11.699,12.555,13.538,13.691,14.069,14.515,15.005,15.078,15.104,15.112,15.081,15.013,14.982,14.852,14.663,14.463,14.375,14.280,14.101,14.071,14.067,14.277,14.748,15.150,15.589,16.028,16.401,15.979,16.217,16.713,17.522,18.536,19.584,19.663,19.758,19.588,19.188,18.718,18.337,18.001,17.989,18.242,18.914,19.701,20.344,20.594,20.638,22.297,23.212,23.970,24.810,25.149,25.433,25.833,26.187,26.697,27.150,27.469,27.421,27.588,27.255,27.281,26.809,26.330,25.799,25.637,25.215,25.348,25.192,25.002,24.563,24.660,24.544,24.900,25.404,26.238,26.562,27.027,27.418,27.870,28.309,28.766,29.227,29.724,30.235,30.748,31.254
"    TOTAL FEMALE POPULATION AGE 25 YEARS (in thousands)","n.a.",1.612,1.609,2.325,2.240,2.293,2.356,2.505,2.617,2.727,2.831,2.910,2.913,2.958,2.917,2.867,2.821,2.835,2.762,2.700,2.646,2.574,2.446,2.397,2.361,2.434,2.590,2.710,2.623,2.572,2.597,2.757,2.819,2.980,3.056,3.215,3.703,3.769,3.819,3.828,3.639,3.613,3.470,3.469,3.505,3.568,3.865,4.046,4.195,4.392,4.054,4.141,4.632,4.755,4.660,4.643,4.640,4.819,5.118,4.955,5.106,5.045,5.124,5.113,5.131,4.805,5.093,4.681,4.681,4.634,4.668,4.729,4.817,4.526,4.415,4.211,4.824,4.766,4.920,4.948,5.048,5.129,5.215,5.300,5.386,5.474,5.569,5.669,5.781,5.884,5.974,6.067
"    TOTAL FEMALE POPULATION AGE 26 YEARS (in thousands)","n.a.",1.817,1.796,1.806,2.574,2.408,2.470,2.505,2.631,2.713,2.807,2.902,2.916,2.905,2.961,2.930,2.894,2.858,2.886,2.814,2.765,2.750,2.699,2.585,2.578,2.557,2.665,2.853,2.998,2.924,2.910,2.950,2.926,2.994,3.184,3.305,3.376,3.848,3.697,3.683,3.745,3.535,3.636,3.508,3.469,3.490,3.601,3.916,4.014,4.113,4.260,4.002,4.595,4.752,4.949,4.872,4.867,4.863,5.062,5.389,5.215,5.364,5.293,5.370,5.358,5.362,5.038,5.333,4.893,4.897,4.838,4.879,4.939,5.026,4.748,4.646,4.442,5.004,4.955,5.109,5.136,5.236,5.320,5.406,5.492,5.580,5.670,5.765,5.867,5.980,6.085,6.178
"    TOTAL FEMALE POPULATION AGE 27 YEARS (in thousands)","n.a.",2.097,1.989,2.004,2.011,2.813,2.658,2.712,2.732,2.846,2.935,3.032,3.060,3.051,3.036,3.097,3.062,3.020,2.986,3.005,2.927,2.906,2.925,2.878,2.796,2.794,2.784,2.905,3.105,3.266,3.199,3.160,3.104,3.236,3.272,3.573,3.676,3.784,4.105,3.992,3.898,3.854,3.642,3.627,3.526,3.506,3.518,3.617,3.963,4.081,4.122,4.285,4.372,4.799,5.029,5.233,5.145,5.141,5.135,5.330,5.666,5.485,5.637,5.559,5.638,5.623,5.619,5.278,5.588,5.135,5.140,5.074,5.118,5.185,5.270,4.980,4.874,4.659,5.237,5.191,5.347,5.375,5.479,5.562,5.652,5.738,5.826,5.916,6.015,6.116,6.230,6.334
"    TOTAL FEMALE POPULATION AGE 28 YEARS (in thousands)","n.a.",1.812,2.096,2.043,2.070,2.054,2.908,2.742,2.789,2.799,2.920,3.005,3.019,3.012,3.000,2.979,3.026,2.984,2.945,2.897,2.906,2.879,2.878,2.917,2.931,2.877,2.901,2.920,3.062,3.309,3.524,3.501,3.393,3.351,3.537,3.565,3.876,3.965,3.902,4.154,4.023,4.005,3.956,3.716,3.720,3.610,3.567,3.649,3.692,4.028,4.049,4.134,4.530,4.397,4.893,5.124,5.329,5.238,5.233,5.231,5.429,5.772,5.587,5.739,5.663,5.742,5.728,5.728,5.380,5.693,5.234,5.240,5.176,5.218,5.287,5.374,5.079,4.970,4.754,5.340,5.294,5.455,5.484,5.589,5.673,5.763,5.854,5.942,6.034,6.133,6.237,6.350
"    TOTAL FEMALE POPULATION AGE 29 YEARS (in thousands)","n.a.",1.614,1.772,2.127,2.107,2.131,2.163,3.074,2.922,2.984,3.022,3.156,3.170,3.178,3.198,3.208,3.210,3.285,3.273,3.247,3.219,3.266,3.332,3.324,3.405,3.405,3.337,3.360,3.362,3.518,3.798,4.033,3.737,3.656,3.664,3.864,3.905,4.218,4.140,4.101,4.283,4.181,4.014,4.017,3.781,3.815,3.691,3.686,3.837,3.730,4.109,4.076,4.168,4.509,4.439,4.938,5.168,5.372,5.285,5.282,5.281,5.484,5.828,5.640,5.798,5.723,5.803,5.789,5.788,5.440,5.757,5.293,5.298,5.237,5.282,5.352,5.441,5.145,5.034,4.816,5.413,5.367,5.529,5.561,5.667,5.754,5.847,5.935,6.027,6.122,6.222,6.325
"  TOTAL FEMALE POPULATION AGE 30 to 34 YEARS (in thousands)","n.a.",7.866,8.264,8.937,9.870,10.500,11.193,11.685,12.878,13.477,14.214,14.939,15.488,15.147,15.161,15.288,15.512,15.716,16.052,16.314,16.515,16.916,17.512,18.032,18.613,19.164,19.593,19.855,19.958,20.066,20.332,20.991,21.802,22.595,23.161,23.756,23.782,23.714,23.591,23.333,22.973,22.730,22.459,22.130,21.963,21.523,20.967,20.747,20.466,20.268,20.074,20.293,20.123,20.464,21.371,22.339,23.357,24.630,25.938,26.739,27.616,27.965,28.286,28.752,29.144,29.682,30.154,30.498,30.430,30.587,30.222,30.259,29.739,29.252,28.690,28.540,28.108,28.264,28.123,27.930,27.460,27.513,27.429,27.812,28.369,29.278,29.640,30.151,30.571,31.063,31.532,32.011
"    TOTAL FEMALE POPULATION AGE 30 YEARS (in thousands)","n.a.",1.638,1.770,1.964,2.334,2.251,2.281,2.288,3.209,3.011,3.053,3.054,3.120,3.128,3.157,3.194,3.219,3.233,3.337,3.335,3.322,3.386,3.438,3.526,3.571,3.659,3.684,3.621,3.646,3.672,3.876,4.179,4.269,4.078,4.036,4.068,4.296,4.264,4.498,4.389,4.337,4.495,4.205,4.102,4.087,3.908,3.902,3.794,3.770,3.860,3.766,4.168,4.119,4.236,4.646,4.571,5.080,5.311,5.518,5.427,5.425,5.428,5.633,5.988,5.796,5.952,5.877,5.960,5.941,5.945,5.586,5.912,5.439,5.445,5.385,5.427,5.500,5.590,5.290,5.178,4.954,5.563,5.517,5.684,5.714,5.825,5.916,6.009,6.100,6.194,6.288,6.390
"    TOTAL FEMALE POPULATION AGE 31 YEARS (in thousands)","n.a.",1.611,1.678,1.847,2.047,2.388,2.334,2.353,2.348,3.279,3.077,3.118,3.057,3.099,3.106,3.137,3.173,3.198,3.225,3.321,3.312,3.336,3.461,3.517,3.631,3.654,3.746,3.759,3.674,3.696,3.722,3.974,4.439,4.598,4.349,4.311,4.316,4.571,4.377,4.448,4.354,4.390,4.541,4.284,4.210,4.134,3.998,3.953,3.926,3.859,3.958,3.851,4.183,4.110,4.287,4.700,4.623,5.136,5.366,5.574,5.479,5.479,5.484,5.691,6.049,5.850,6.010,5.938,6.017,6.002,6.003,5.645,5.975,5.501,5.504,5.447,5.490,5.564,5.653,5.356,5.239,5.015,5.631,5.583,5.754,5.784,5.896,5.987,6.081,6.174,6.266,6.361
"    TOTAL FEMALE POPULATION AGE 32 YEARS (in thousands)","n.a.",1.547,1.617,1.723,1.902,2.071,2.441,2.373,2.386,2.368,3.298,3.095,3.067,2.998,3.050,3.076,3.118,3.170,3.217,3.247,3.352,3.407,3.502,3.668,3.784,3.921,3.988,4.115,4.135,4.076,4.143,4.225,4.214,4.726,4.930,4.713,4.585,4.642,4.808,4.529,4.558,4.418,4.446,4.651,4.335,4.280,4.229,4.159,4.056,4.090,3.912,4.081,3.838,4.236,4.223,4.406,4.825,4.748,5.270,5.506,5.717,5.618,5.617,5.619,5.834,6.192,5.990,6.152,6.075,6.156,6.139,6.141,5.774,6.114,5.631,5.637,5.578,5.622,5.699,5.794,5.489,5.369,5.143,5.770,5.721,5.895,5.926,6.041,6.132,6.228,6.321,6.414
"    TOTAL FEMALE POPULATION AGE 33 YEARS (in thousands)","n.a.",1.492,1.587,1.686,1.785,1.931,2.122,2.483,2.398,2.390,2.371,3.296,3.018,2.974,2.918,2.982,3.020,3.074,3.144,3.196,3.235,3.404,3.515,3.609,3.803,3.911,4.048,4.099,4.207,4.221,4.163,4.246,4.451,4.483,5.109,5.291,5.082,4.972,4.887,5.061,4.713,4.687,4.535,4.545,4.754,4.376,4.359,4.339,4.253,4.152,4.162,3.993,4.037,3.853,4.315,4.297,4.481,4.904,4.825,5.354,5.586,5.797,5.698,5.698,5.707,5.921,6.291,6.085,6.243,6.171,6.252,6.237,6.243,5.874,6.220,5.732,5.734,5.681,5.723,5.801,5.897,5.591,5.467,5.233,5.871,5.823,5.999,6.029,6.144,6.235,6.333,6.426
